City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,general pico,-35.6566,-63.7568,63.34,46,0,6.26,AR,1679872135
333,sao joao da barra,-21.6403,-41.0511,78.89,88,20,15.1,BR,1679872136
334,cayenne,4.9333,-52.3333,77.04,83,75,5.75,GF,1679872023
335,kasongo-lunda,-6.4667,16.8167,70.14,99,99,1.99,CD,1679872136
336,anzio,41.4853,12.6179,59.47,77,75,19.69,IT,1679872137
337,ouargaye,11.5033,0.0572,93.22,20,78,4.32,BF,1679872137
338,amazar,53.858,120.875,14.9,90,45,1.54,RU,1679872137
339,fairbanks,64.8378,-147.7164,33.1,31,100,0.0,US,1679871849
340,talnakh,69.4865,88.3972,-5.4,98,100,4.45,RU,1679872138
341,banepa,27.6298,85.5214,54.12,71,20,2.3,NP,1679872138
342,karratha,-20.7377,116.8463,82.33,74,60,5.46,AU,1679872138
343,darnah,32.767,22.6367,58.95,69,0,13.02,LY,1679872139
344,krasnyy oktyabr,56.1167,38.8833,38.19,98,100,7.65,RU,1679872139
345,luxor,25.6989,32.6421,63.68,28,0,6.13,EG,1679872139
346,fukue,32.6881,128.8419,54.81,65,91,15.52,JP,1679872140
347,hohhot,40.8106,111.6522,33.91,30,0,3.11,CN,1679872140
348,kavaratti,10.5669,72.642,80.83,69,33,10.36,IN,1679872140
349,guaiba,-30.1139,-51.325,75.94,70,0,6.91,BR,1679872141
350,tiksi,71.6872,128.8694,7.12,90,100,7.34,RU,1679872141
351,jalu,29.0331,21.5482,62.62,53,0,9.93,LY,1679872142
352,kismayo,-0.3582,42.5454,80.96,82,8,6.42,SO,1679872142
353,coffs harbour,-30.3,153.1333,75.16,69,47,4.61,AU,1679871914
354,the valley,18.217,-63.0578,77.14,73,20,9.22,AI,1679872144
355,santa cruz de la palma,28.6835,-17.7642,66.34,82,0,8.05,ES,1679872144
356,leshan,29.5623,103.7639,53.02,86,100,0.85,CN,1679872144
357,diu,20.7141,70.9822,71.71,76,3,11.45,IN,1679872145
358,victor harbor,-35.5667,138.6167,64.69,84,92,11.25,AU,1679872146
359,orumiyeh,37.5527,45.0761,50.31,77,100,2.37,IR,1679872146
360,luorong,24.4058,109.6086,55.47,86,100,7.85,CN,1679872147
361,kabinda,-6.1333,24.4833,67.51,97,100,2.46,CD,1679872147
362,carutapera,-1.195,-46.02,76.8,89,84,5.08,BR,1679872148
363,kamenka,51.3223,42.7678,49.59,86,100,4.03,RU,1679872149
364,kang,-23.6752,22.7876,69.82,61,48,0.27,BW,1679872149
365,half moon bay,37.4636,-122.4286,60.8,44,0,17.27,US,1679872150
366,rawlins,41.7911,-107.2387,25.36,50,0,13.8,US,1679872150
367,iqaluit,63.7506,-68.5145,1.62,100,67,1.88,CA,1679872151
368,yining,29.0361,114.5636,51.53,75,96,2.86,CN,1679872151
369,naze,28.3667,129.4833,61.29,68,100,12.15,JP,1679872152
370,bushehr,28.9684,50.8385,68.7,65,56,10.92,IR,1679872153
371,sangar,63.9242,127.4739,12.7,95,100,12.77,RU,1679872153
372,cap malheureux,-19.9842,57.6142,75.47,83,87,3.0,MU,1679872153
373,salalah,17.0151,54.0924,80.69,74,40,8.05,OM,1679872154
374,port lincoln,-34.7333,135.8667,65.91,82,38,10.87,AU,1679872154
375,boysun,38.2061,67.1986,52.14,57,7,5.08,UZ,1679872155
376,yaritagua,10.08,-69.1261,87.06,69,88,6.55,VE,1679872155
377,portland,45.5234,-122.6762,49.98,74,100,9.22,US,1679872022
378,filadelfia,39.9523,-75.1638,62.49,31,20,10.36,US,1679872062
379,charters towers,-20.1,146.2667,76.84,65,1,10.6,AU,1679872156
380,jinji,23.2281,110.8261,58.57,94,100,5.1,CN,1679871915
381,severo-kurilsk,50.6789,156.125,31.39,63,100,7.11,RU,1679872157
382,mana,5.6592,-53.7767,77.23,81,36,9.62,GF,1679872158
383,kupang,-10.1667,123.5833,75.78,100,20,1.14,ID,1679872158
384,akhtubinsk,48.2795,46.1722,52.74,79,75,11.41,RU,1679872159
385,atar,20.5169,-13.0499,81.39,10,0,9.04,MR,1679872161
386,bulls,-40.1667,175.3833,66.49,77,93,9.98,NZ,1679872161
387,mackay,-21.15,149.2,83.68,67,77,10.31,AU,1679872162
388,requena,39.4883,-1.1004,48.85,38,8,5.61,ES,1679872122
389,kyshtovka,56.555,76.6271,34.05,98,100,8.59,RU,1679872163
390,marienburg,54.0359,19.0266,37.87,88,14,6.89,PL,1679872163
391,port keats,-14.25,129.55,79.32,66,31,6.73,AU,1679872164
392,del monte,14.6418,121.0177,82.92,68,20,2.3,PH,1679872164
393,ashtian,34.5217,50.0019,44.01,78,97,4.09,IR,1679872164
394,marsh harbour,26.5412,-77.0636,76.5,80,29,10.16,BS,1679871965
395,kibakwe,-6.7167,36.3667,63.28,95,97,2.39,TZ,1679872166
396,empangeni,-28.762,31.8933,65.95,91,100,14.25,ZA,1679872166
397,eskil,38.4017,33.4131,49.59,71,43,10.04,TR,1679872166
398,krasnoselkup,65.7,82.4667,22.01,96,100,6.71,RU,1679872167
399,puertollano,38.6871,-4.1073,54.09,65,76,1.81,ES,1679871909
400,durg,21.1833,81.2833,78.22,46,27,1.25,IN,1679872167
401,rockhampton,-23.3833,150.5,78.69,73,91,8.05,AU,1679872168
402,zemetchino,53.4973,42.6163,49.21,92,100,11.5,RU,1679872168
403,eureka,40.8021,-124.1637,55.74,56,27,8.01,US,1679872036
404,nome,64.5011,-165.4064,32.16,100,100,12.66,US,1679871987
405,kashi,39.4547,75.9797,49.21,21,11,5.21,CN,1679872169
406,aklavik,68.2191,-135.0107,22.55,77,89,13.69,CA,1679872170
407,tiznit,29.5833,-9.5,70.77,35,27,1.79,MA,1679872170
408,korla,41.7597,86.1469,47.8,33,0,4.43,CN,1679872171
409,las vegas,36.175,-115.1372,59.43,23,75,12.66,US,1679871549
410,vanavara,60.34,102.2797,33.49,98,100,12.84,RU,1679872171
411,byron bay,-28.65,153.6167,76.71,77,71,3.18,AU,1679872172
412,jardim,-21.4803,-56.1381,74.97,91,85,5.41,BR,1679872172
413,kourou,5.1552,-52.6478,77.05,84,98,7.83,GF,1679872173
414,faanui,-16.4833,-151.75,81.25,74,57,6.6,PF,1679871974
415,kurumkan,54.3,110.3,18.5,92,100,3.31,RU,1679872174
416,lavrentiya,65.5833,-171.0,25.99,94,78,16.89,RU,1679872174
417,collie,-33.3667,116.15,49.48,90,3,4.0,AU,1679872175
418,la ronge,55.1001,-105.2842,8.8,77,98,4.18,CA,1679872175
419,caraballeda,10.6112,-66.8522,87.87,66,40,5.75,VE,1679872175
420,halden,59.1226,11.3871,25.63,68,3,3.47,NO,1679872176
421,gwadar,25.1216,62.3254,73.67,64,4,5.66,PK,1679872176
422,batemans bay,-35.7167,150.1833,68.09,89,100,4.85,AU,1679872177
423,cestas,44.7435,-0.6791,51.46,90,75,9.22,FR,1679872177
424,kadhan,24.481,68.9859,76.15,43,0,4.9,PK,1679872178
425,dolores,-36.3132,-57.6792,58.19,65,0,8.05,AR,1679872178
426,eyl,7.9803,49.8164,79.77,79,45,7.81,SO,1679872179
427,poum,-20.2333,164.0167,80.69,81,82,17.18,NC,1679872179
428,enshi,30.3,109.4833,49.53,96,100,2.33,CN,1679872180
429,hvolsvollur,63.7533,-20.2243,17.85,83,8,9.17,IS,1679872181
430,faro,37.0194,-7.9322,62.38,59,0,5.75,PT,1679872181
431,guerrero negro,27.9769,-114.0611,63.3,55,19,18.32,MX,1679872182
432,kangaatsiaq,68.3065,-53.4641,0.0,97,97,6.13,GL,1679872183
433,sault sainte marie,46.5168,-84.3333,32.56,80,100,11.5,CA,1679872096
434,am timan,11.0297,20.2827,82.83,18,47,4.52,TD,1679872183
435,malakal,9.5334,31.6605,84.81,18,100,5.88,SS,1679872184
436,camacha,33.0833,-16.3333,60.22,88,20,13.8,PT,1679872184
437,ihlow,51.8833,13.3333,42.62,87,75,8.05,DE,1679872184
438,tignere,7.3667,12.65,70.07,62,100,1.92,CM,1679872185
439,jiaozuo,35.2397,113.2331,50.23,52,21,5.28,CN,1679872186
440,pula,44.8683,13.8481,48.76,93,75,9.22,HR,1679872186
441,dongying,37.4564,118.4856,46.8,39,0,6.64,CN,1679872186
442,flin flon,54.7682,-101.865,10.04,77,100,8.01,CA,1679872187
443,galle,6.0367,80.217,77.23,87,10,3.71,LK,1679872187
444,lityn,49.3251,28.0809,42.37,81,7,6.67,UA,1679872188
445,jiuquan,39.7432,98.5174,42.33,19,95,5.57,CN,1679872188
446,dmytrivka,45.9717,28.9864,47.66,72,4,7.09,UA,1679872188
447,pisco,-13.7,-76.2167,75.25,78,0,19.57,PE,1679872189
448,kirakira,-10.4544,161.9205,85.55,70,53,3.18,SB,1679872189
449,bambanglipuro,-7.95,110.2833,76.17,89,95,6.53,ID,1679872189
450,paamiut,61.994,-49.6678,22.55,70,100,4.85,GL,1679872190
451,katobu,-4.9408,122.5276,77.09,91,100,1.14,ID,1679872190
452,bandarbeyla,9.4942,50.8122,80.02,80,87,6.6,SO,1679872191
453,sayyan,15.1718,44.3244,59.11,67,64,4.5,YE,1679872191
454,nangloi jat,28.6833,77.0667,68.11,77,4,0.0,IN,1679872191
455,tilichiki,60.4667,166.1,1.99,76,46,3.22,RU,1679872192
456,srednekolymsk,67.45,153.6833,-3.23,90,52,9.55,RU,1679872192
457,libourne,44.9167,-0.25,50.58,91,29,11.23,FR,1679872192
458,mahanje,-9.9333,35.3333,63.09,96,82,2.51,TZ,1679872193
459,phan thiet,10.9333,108.1,73.63,79,2,5.73,VN,1679872193
460,vostochnyy,55.8167,37.8667,40.93,98,100,6.04,RU,1679872193
461,lagdo,9.05,13.7333,82.4,40,71,1.77,CM,1679872194
462,gizo,-8.103,156.8419,83.28,73,17,4.63,SB,1679872194
463,ayan,56.45,138.1667,19.45,81,31,4.47,RU,1679872195
464,yerbogachen,61.2767,108.0108,32.31,98,100,10.22,RU,1679872195
465,almunecar,36.7339,-3.6907,69.44,50,74,16.53,ES,1679872195
466,killarney,52.05,-9.5167,41.07,92,12,1.5,IE,1679872196
467,valentin gomez farias,28.2167,-106.5833,75.2,7,13,17.49,MX,1679872196
468,hualmay,-11.0964,-77.6139,76.62,78,18,11.74,PE,1679872196
469,huntington,38.4193,-82.4452,66.13,32,0,5.75,US,1679871976
470,loandjili,-4.7561,11.8578,80.51,81,100,5.26,CG,1679872197
471,balkanabat,39.5108,54.3671,69.71,18,82,7.54,TM,1679872197
472,alofi,-19.0595,-169.9187,81.23,77,100,7.67,NU,1679872198
473,marzuq,14.4,46.4667,72.3,68,58,7.63,YE,1679872198
474,san carlos de bariloche,-41.1456,-71.3082,65.95,26,0,8.05,AR,1679871960
475,palmer,42.1584,-72.3287,56.75,67,39,9.01,US,1679872199
476,karasburg,-28.0167,18.75,66.99,33,0,8.86,NA,1679872199
477,ketchikan,55.3422,-131.6461,46.87,53,20,11.5,US,1679872199
478,genhe,50.7833,121.5167,8.26,97,92,0.67,CN,1679872200
479,husavik,66.0449,-17.3389,23.22,94,100,5.61,IS,1679872200
480,avon,41.4517,-82.0354,55.71,56,100,8.05,US,1679872201
481,labuhan,-6.8844,112.2051,78.15,88,99,5.06,ID,1679872201
482,bitung,1.4451,125.1824,76.05,93,100,8.66,ID,1679872202
483,syasstroy,60.1367,32.5691,31.8,96,100,8.72,RU,1679872203
484,lujan,-34.5703,-59.105,68.95,64,0,1.99,AR,1679872204
485,itarema,-2.9248,-39.9167,77.83,83,22,5.73,BR,1679872100
486,robertsport,6.7533,-11.3686,79.29,84,94,4.12,LR,1679872207
487,ljig,44.2301,20.2382,55.09,54,48,13.73,RS,1679872207
488,vesoul,47.5833,5.8333,43.61,95,98,8.72,FR,1679872208
489,vanimo,-2.6741,141.3028,78.24,88,99,4.52,PG,1679872209
490,asau,46.4333,26.4,38.32,78,4,5.14,RO,1679872209
491,pevek,69.7008,170.3133,0.1,91,100,14.45,RU,1679872210
492,birao,10.2849,22.7882,76.44,25,8,3.38,CF,1679872210
493,sarangani,5.4033,125.4636,81.77,75,100,12.21,PH,1679872211
494,turinskaya sloboda,57.6232,64.3858,33.58,96,66,5.53,RU,1679872211
495,viedma,-40.8135,-62.9967,69.22,27,37,10.09,AR,1679872212
